Functions/Forces/SpringForce.uasset	SpringForce	When used in particle update, add a "Solve Forces and Velocity" module to the bottom of the stack. 	—
Functions/Forces/SpringForceFloat.uasset	SpringForceFloat	668 | 1	Module.Desired Minimum Separation Distance
Functions/GBuffer/ScreenUVToWorldPosition.uasset	ScreenUVToWorldPosition	FLWCVector3 LwcWorldPosition = LWCSubtract(LWCPromote(TranslatedWorldPosition), PrimaryView.TileOffset.PreViewTranslation);	—
Functions/GBuffer/WorldPositionToScreenUV.uasset	WorldPositionToScreenUV	Change input to Position and support LWC conversion to screen space.	—
Functions/GaussianRandomFloat.uasset	GaussianRandomFloat	Produces values in the entire floating point range centered around 0.0: 	—
Functions/GaussianRandomVector.uasset	GaussianRandomVector	Generates random numbers on the unit sphere and unit circle (radius 1), i.e. random unit vectors.	—
Functions/GetRandomInfo.uasset	GetRandomInfo	Specialized seeding based on where the function is called from.	—
Functions/Helpers/AdvancePosition.uasset	AdvancePosition	—	—
Functions/Helpers/AdvancePositionWithAcceleration.uasset	AdvancePositionWithAcceleration	—	—
Functions/Helpers/DoOnce_fn.uasset	DoOnce_fn	Execute Returns True for the first frame that the Trigger Condition input is true. Every frame after being set to true triggered returns true.	—
Functions/Helpers/FN_FirstFrame_Numeric.uasset	FN_FirstFrame_Numeric	636 | 1	Returns one value on a particle's first frame and another on subsequent frames.
Functions/Helpers/HoudiniQuatToUnrealQuat.uasset	HoudiniQuatToUnrealQuat	—	—
Functions/Helpers/HoudiniVectorToUnrealVector.uasset	HoudiniVectorToUnrealVector	—	—
Functions/Helpers/IsPointAbovePlane.uasset	IsPointAbovePlane	Provide a Point in space as well as a plane position and normal, and return either a bool or the dot product result of whether the point lies above or below the plane. The sign of the dot product indicates whether the point is above or below the plane.	—
Functions/Helpers/IsPointBetweenSlabs.uasset	IsPointBetweenSlabs	Provide a Point in space as well as the center point and width of a slab (Two planes facing each other). Returns a bool and a signed result of whether the point is inside the slab formed by those two planes and their normals, or not.	—
Functions/Helpers/IsPointInsideBox.uasset	IsPointInsideBox	Provide a Point in space as well as the center point and XYZ size and axes of a box. Returns a boolean and signed result depending on whether the point is inside of or outside of the box.	—
Functions/Helpers/IsPointInsideCone.uasset	IsPointInsideCone	Provide a point in space and a cone and return whether than point is inside or outside of that cone.	—
